topology,alpha,seed,spectral_gap,round,avg_acc,worst_acc
line,100.0,0,0.0326289891365642,5,0.8779299999999999,0.8694
line,100.0,0,0.0326289891365642,10,0.89496,0.8883
line,100.0,0,0.0326289891365642,15,0.90148,0.8954
line,100.0,0,0.0326289891365642,20,0.9048299999999999,0.8962
line,100.0,0,0.0326289891365642,25,0.9054399999999999,0.8959
line,100.0,0,0.0326289891365642,30,0.9078099999999999,0.9008
line,100.0,0,0.0326289891365642,35,0.9078099999999999,0.8959
line,100.0,0,0.0326289891365642,40,0.9093,0.9003
line,100.0,0,0.0326289891365642,45,0.90927,0.9026
line,100.0,0,0.0326289891365642,50,0.9097500000000001,0.9051
line,100.0,1,0.0326289891365642,5,0.87787,0.8717
line,100.0,1,0.0326289891365642,10,0.89665,0.8933
line,100.0,1,0.0326289891365642,15,0.90457,0.9007
line,100.0,1,0.0326289891365642,20,0.90607,0.8976
line,100.0,1,0.0326289891365642,25,0.9087099999999999,0.8995
line,100.0,1,0.0326289891365642,30,0.91029,0.901
line,100.0,1,0.0326289891365642,35,0.91014,0.8989
line,100.0,1,0.0326289891365642,40,0.9111100000000001,0.9035
line,100.0,1,0.0326289891365642,45,0.90912,0.8989
line,100.0,1,0.0326289891365642,50,0.91066,0.8975
line,100.0,2,0.0326289891365642,5,0.8764900000000001,0.8705
line,100.0,2,0.0326289891365642,10,0.89345,0.8862
line,100.0,2,0.0326289891365642,15,0.9046900000000001,0.8969
line,100.0,2,0.0326289891365642,20,0.9073800000000001,0.8999
line,100.0,2,0.0326289891365642,25,0.91073,0.9031
line,100.0,2,0.0326289891365642,30,0.9105700000000001,0.9021
line,100.0,2,0.0326289891365642,35,0.9104300000000001,0.9007
line,100.0,2,0.0326289891365642,40,0.91095,0.9025
line,100.0,2,0.0326289891365642,45,0.91091,0.9015
line,100.0,2,0.0326289891365642,50,0.91184,0.904
line,100.0,3,0.0326289891365642,5,0.87761,0.8737
line,100.0,3,0.0326289891365642,10,0.8946799999999999,0.8925
line,100.0,3,0.0326289891365642,15,0.9021699999999999,0.8956
line,100.0,3,0.0326289891365642,20,0.90608,0.8993
line,100.0,3,0.0326289891365642,25,0.90755,0.9022
line,100.0,3,0.0326289891365642,30,0.90931,0.9019
line,100.0,3,0.0326289891365642,35,0.90915,0.9045
line,100.0,3,0.0326289891365642,40,0.91027,0.9033
line,100.0,3,0.0326289891365642,45,0.90953,0.9026
line,100.0,3,0.0326289891365642,50,0.9103199999999999,0.9027
line,100.0,4,0.0326289891365642,5,0.87734,0.8691
line,100.0,4,0.0326289891365642,10,0.8926700000000001,0.8853
line,100.0,4,0.0326289891365642,15,0.90098,0.897
line,100.0,4,0.0326289891365642,20,0.90717,0.9007
line,100.0,4,0.0326289891365642,25,0.90938,0.9017
line,100.0,4,0.0326289891365642,30,0.90926,0.8984
line,100.0,4,0.0326289891365642,35,0.91206,0.9065
line,100.0,4,0.0326289891365642,40,0.9120000000000001,0.9041
line,100.0,4,0.0326289891365642,45,0.91188,0.9039
line,100.0,4,0.0326289891365642,50,0.91083,0.9049
line,100.0,5,0.0326289891365642,5,0.8768800000000001,0.8683
line,100.0,5,0.0326289891365642,10,0.89484,0.8907
line,100.0,5,0.0326289891365642,15,0.90212,0.8956
line,100.0,5,0.0326289891365642,20,0.90578,0.895
line,100.0,5,0.0326289891365642,25,0.90743,0.901
line,100.0,5,0.0326289891365642,30,0.9075599999999999,0.8998
line,100.0,5,0.0326289891365642,35,0.91059,0.9045
line,100.0,5,0.0326289891365642,40,0.9105000000000001,0.9012
line,100.0,5,0.0326289891365642,45,0.9093500000000001,0.9006
line,100.0,5,0.0326289891365642,50,0.9094200000000001,0.8999
line,100.0,6,0.0326289891365642,5,0.876,0.8713
line,100.0,6,0.0326289891365642,10,0.8947900000000001,0.8895
line,100.0,6,0.0326289891365642,15,0.9017,0.8936
line,100.0,6,0.0326289891365642,20,0.9073800000000001,0.9009
line,100.0,6,0.0326289891365642,25,0.9086299999999999,0.9
line,100.0,6,0.0326289891365642,30,0.91027,0.9031
line,100.0,6,0.0326289891365642,35,0.91095,0.9001
line,100.0,6,0.0326289891365642,40,0.9123899999999999,0.901
line,100.0,6,0.0326289891365642,45,0.91073,0.9029
line,100.0,6,0.0326289891365642,50,0.91123,0.9004
line,100.0,7,0.0326289891365642,5,0.876,0.8657
line,100.0,7,0.0326289891365642,10,0.89178,0.8875
line,100.0,7,0.0326289891365642,15,0.90076,0.8957
line,100.0,7,0.0326289891365642,20,0.90424,0.8935
line,100.0,7,0.0326289891365642,25,0.90818,0.9018
line,100.0,7,0.0326289891365642,30,0.9083,0.8998
line,100.0,7,0.0326289891365642,35,0.9087400000000001,0.8972
line,100.0,7,0.0326289891365642,40,0.9097799999999999,0.9023
line,100.0,7,0.0326289891365642,45,0.9094099999999999,0.902
line,100.0,7,0.0326289891365642,50,0.90969,0.9034
line,100.0,8,0.0326289891365642,5,0.87302,0.8703
line,100.0,8,0.0326289891365642,10,0.88985,0.8839
line,100.0,8,0.0326289891365642,15,0.901,0.895
line,100.0,8,0.0326289891365642,20,0.90463,0.8994
line,100.0,8,0.0326289891365642,25,0.9080600000000001,0.9012
line,100.0,8,0.0326289891365642,30,0.9079200000000001,0.8988
line,100.0,8,0.0326289891365642,35,0.908,0.8955
line,100.0,8,0.0326289891365642,40,0.90951,0.9031
line,100.0,8,0.0326289891365642,45,0.91019,0.906
line,100.0,8,0.0326289891365642,50,0.91063,0.8992
line,100.0,9,0.0326289891365642,5,0.8782399999999999,0.8754
line,100.0,9,0.0326289891365642,10,0.8935000000000001,0.8858
line,100.0,9,0.0326289891365642,15,0.9012800000000001,0.8954
line,100.0,9,0.0326289891365642,20,0.9050800000000001,0.8947
line,100.0,9,0.0326289891365642,25,0.9072800000000001,0.8981
line,100.0,9,0.0326289891365642,30,0.9084300000000001,0.8982
line,100.0,9,0.0326289891365642,35,0.9094300000000001,0.9007
line,100.0,9,0.0326289891365642,40,0.9104699999999999,0.8999
line,100.0,9,0.0326289891365642,45,0.90984,0.8992
line,100.0,9,0.0326289891365642,50,0.9098,0.9018
line,0.5,0,0.0326289891365642,5,0.80716,0.7781
line,0.5,0,0.0326289891365642,10,0.8352700000000001,0.7994
line,0.5,0,0.0326289891365642,15,0.8544,0.8238
line,0.5,0,0.0326289891365642,20,0.85333,0.8211
line,0.5,0,0.0326289891365642,25,0.8656900000000001,0.8372
line,0.5,0,0.0326289891365642,30,0.8667199999999999,0.8323
line,0.5,0,0.0326289891365642,35,0.87131,0.8437
line,0.5,0,0.0326289891365642,40,0.8711,0.8414
line,0.5,0,0.0326289891365642,45,0.87745,0.8514
line,0.5,0,0.0326289891365642,50,0.87715,0.8562
line,0.5,1,0.0326289891365642,5,0.82258,0.7751
line,0.5,1,0.0326289891365642,10,0.84961,0.8073
line,0.5,1,0.0326289891365642,15,0.86388,0.8251
line,0.5,1,0.0326289891365642,20,0.86525,0.8305
line,0.5,1,0.0326289891365642,25,0.87585,0.8412
line,0.5,1,0.0326289891365642,30,0.8761300000000001,0.8408
line,0.5,1,0.0326289891365642,35,0.8766299999999999,0.8404
line,0.5,1,0.0326289891365642,40,0.87752,0.8471
line,0.5,1,0.0326289891365642,45,0.8777000000000001,0.8431
line,0.5,1,0.0326289891365642,50,0.88285,0.8593
line,0.5,2,0.0326289891365642,5,0.80244,0.7171
line,0.5,2,0.0326289891365642,10,0.8498699999999999,0.8201
line,0.5,2,0.0326289891365642,15,0.8699600000000001,0.8378
line,0.5,2,0.0326289891365642,20,0.8754899999999999,0.8551
line,0.5,2,0.0326289891365642,25,0.88299,0.8645
line,0.5,2,0.0326289891365642,30,0.88283,0.8689
line,0.5,2,0.0326289891365642,35,0.88278,0.8724
line,0.5,2,0.0326289891365642,40,0.88606,0.8672
