alpha,seed,round,accuracy
100.0,0,5,0.8837
100.0,0,10,0.9021
100.0,0,15,0.9097
100.0,0,20,0.9153
100.0,0,25,0.9179
100.0,0,30,0.9202
100.0,0,35,0.9215
100.0,0,40,0.9216
100.0,0,45,0.922
100.0,0,50,0.9219
100.0,1,5,0.883
100.0,1,10,0.9031
100.0,1,15,0.9124
100.0,1,20,0.9177
100.0,1,25,0.9218
100.0,1,30,0.9227
100.0,1,35,0.9245
100.0,1,40,0.9246
100.0,1,45,0.9238
100.0,1,50,0.9259
100.0,2,5,0.8823
100.0,2,10,0.9026
100.0,2,15,0.9128
100.0,2,20,0.9173
100.0,2,25,0.9209
100.0,2,30,0.9229
100.0,2,35,0.9247
100.0,2,40,0.9255
100.0,2,45,0.926
100.0,2,50,0.9257
100.0,3,5,0.882
100.0,3,10,0.9016
100.0,3,15,0.9101
100.0,3,20,0.9151
100.0,3,25,0.9183
100.0,3,30,0.9217
100.0,3,35,0.9216
100.0,3,40,0.9224
100.0,3,45,0.9234
100.0,3,50,0.9228
100.0,4,5,0.8828
100.0,4,10,0.8996
100.0,4,15,0.9102
100.0,4,20,0.9151
100.0,4,25,0.9178
100.0,4,30,0.9221
100.0,4,35,0.9218
100.0,4,40,0.9256
100.0,4,45,0.9263
100.0,4,50,0.9246
100.0,5,5,0.8861
100.0,5,10,0.9007
100.0,5,15,0.9118
100.0,5,20,0.9167
100.0,5,25,0.9206
100.0,5,30,0.9225
100.0,5,35,0.9256
100.0,5,40,0.9247
100.0,5,45,0.9245
100.0,5,50,0.928
100.0,6,5,0.881
100.0,6,10,0.9017
100.0,6,15,0.913
100.0,6,20,0.9168
100.0,6,25,0.9216
100.0,6,30,0.9246
100.0,6,35,0.9272
100.0,6,40,0.9273
100.0,6,45,0.9233
100.0,6,50,0.9249
100.0,7,5,0.8801
100.0,7,10,0.899
100.0,7,15,0.909
100.0,7,20,0.9157
100.0,7,25,0.9202
100.0,7,30,0.9232
100.0,7,35,0.924
100.0,7,40,0.9248
100.0,7,45,0.9265
100.0,7,50,0.9242
100.0,8,5,0.8801
100.0,8,10,0.8996
100.0,8,15,0.9096
100.0,8,20,0.915
100.0,8,25,0.9187
100.0,8,30,0.9219
100.0,8,35,0.9228
100.0,8,40,0.9216
100.0,8,45,0.9238
100.0,8,50,0.9246
100.0,9,5,0.8842
100.0,9,10,0.9
100.0,9,15,0.9092
100.0,9,20,0.9161
100.0,9,25,0.9179
100.0,9,30,0.9209
100.0,9,35,0.9213
100.0,9,40,0.9243
100.0,9,45,0.9225
100.0,9,50,0.925
0.5,0,5,0.8658
0.5,0,10,0.8876
0.5,0,15,0.9001
0.5,0,20,0.9065
0.5,0,25,0.9092
0.5,0,30,0.9111
0.5,0,35,0.9133
0.5,0,40,0.9135
0.5,0,45,0.9174
0.5,0,50,0.9139
0.5,1,5,0.8639
0.5,1,10,0.8901
0.5,1,15,0.8988
0.5,1,20,0.9026
0.5,1,25,0.9074
0.5,1,30,0.9136
0.5,1,35,0.9145
0.5,1,40,0.9157
0.5,1,45,0.9143
0.5,1,50,0.9138
0.5,2,5,0.8658
0.5,2,10,0.8906
0.5,2,15,0.902
0.5,2,20,0.9086
0.5,2,25,0.9129
0.5,2,30,0.9148
0.5,2,35,0.9184
0.5,2,40,0.9201
0.5,2,45,0.9189
0.5,2,50,0.9214
0.5,3,5,0.8673
0.5,3,10,0.8923
0.5,3,15,0.9004
0.5,3,20,0.9065
0.5,3,25,0.9115
0.5,3,30,0.9152
0.5,3,35,0.9147
0.5,3,40,0.9161
0.5,3,45,0.917
0.5,3,50,0.9149
0.5,4,5,0.8598
0.5,4,10,0.8854
0.5,4,15,0.8967
0.5,4,20,0.906
0.5,4,25,0.9085
0.5,4,30,0.913
0.5,4,35,0.9125
0.5,4,40,0.912
0.5,4,45,0.9172
0.5,4,50,0.9164
0.5,5,5,0.8616
0.5,5,10,0.8897
0.5,5,15,0.8973
0.5,5,20,0.9043
0.5,5,25,0.9108
0.5,5,30,0.9121
0.5,5,35,0.9125
0.5,5,40,0.9129
0.5,5,45,0.9155
0.5,5,50,0.9157
0.5,6,5,0.8642
0.5,6,10,0.8867
0.5,6,15,0.8996
0.5,6,20,0.9074
0.5,6,25,0.9134
0.5,6,30,0.9162
0.5,6,35,0.919
0.5,6,40,0.9191
0.5,6,45,0.9214
0.5,6,50,0.9206
0.5,7,5,0.8571
0.5,7,10,0.8868
0.5,7,15,0.8968
0.5,7,20,0.9038
0.5,7,25,0.911
0.5,7,30,0.9138
0.5,7,35,0.9136
0.5,7,40,0.9167
0.5,7,45,0.9155
0.5,7,50,0.9167
0.5,8,5,0.8739
0.5,8,10,0.8919
0.5,8,15,0.9022
0.5,8,20,0.9071
0.5,8,25,0.9125
0.5,8,30,0.9163
0.5,8,35,0.9194
0.5,8,40,0.9205
0.5,8,45,0.9207
0.5,8,50,0.9205
0.5,9,5,0.8447
0.5,9,10,0.8848
0.5,9,15,0.8942
0.5,9,20,0.9046
0.5,9,25,0.9066
0.5,9,30,0.9072
0.5,9,35,0.9118
0.5,9,40,0.9109
0.5,9,45,0.9126
0.5,9,50,0.9141
0.1,0,5,0.7424
0.1,0,10,0.7743
0.1,0,15,0.8025
0.1,0,20,0.8095
0.1,0,25,0.8127
0.1,0,30,0.8113
0.1,0,35,0.8125
0.1,0,40,0.8142
0.1,0,45,0.8119
0.1,0,50,0.8132
0.1,1,5,0.7469
0.1,1,10,0.8059
0.1,1,15,0.8307
0.1,1,20,0.8485
0.1,1,25,0.8549
0.1,1,30,0.8551
0.1,1,35,0.8753
0.1,1,40,0.8695
0.1,1,45,0.8756
0.1,1,50,0.8713
0.1,2,5,0.6914
0.1,2,10,0.7476
0.1,2,15,0.7705
0.1,2,20,0.7713
0.1,2,25,0.7778
0.1,2,30,0.7869
0.1,2,35,0.798
0.1,2,40,0.8111
0.1,2,45,0.8259
0.1,2,50,0.8319
0.1,3,5,0.7953
0.1,3,10,0.8448
0.1,3,15,0.8658
0.1,3,20,0.8721
0.1,3,25,0.8789
0.1,3,30,0.8778
0.1,3,35,0.8872
0.1,3,40,0.887
0.1,3,45,0.8921
0.1,3,50,0.8899
0.1,4,5,0.751
0.1,4,10,0.7999
0.1,4,15,0.81
0.1,4,20,0.8152
0.1,4,25,0.8211
0.1,4,30,0.8271
0.1,4,35,0.8366
0.1,4,40,0.8419
0.1,4,45,0.8422
0.1,4,50,0.8455
0.1,5,5,0.7673
0.1,5,10,0.818
0.1,5,15,0.8434
0.1,5,20,0.857
0.1,5,25,0.858
0.1,5,30,0.8691
0.1,5,35,0.872
0.1,5,40,0.8746
0.1,5,45,0.8823
0.1,5,50,0.8792
0.1,6,5,0.8155
0.1,6,10,0.8497
0.1,6,15,0.8793
0.1,6,20,0.8859
0.1,6,25,0.8916
0.1,6,30,0.897
0.1,6,35,0.897
0.1,6,40,0.9008
0.1,6,45,0.8996
0.1,6,50,0.8976
0.1,7,5,0.7206
0.1,7,10,0.7922
0.1,7,15,0.794
0.1,7,20,0.8375
0.1,7,25,0.8416
0.1,7,30,0.8562
0.1,7,35,0.8615
0.1,7,40,0.8665
0.1,7,45,0.8635
0.1,7,50,0.8666
0.1,8,5,0.7484
0.1,8,10,0.7766
0.1,8,15,0.8109
0.1,8,20,0.8308
0.1,8,25,0.8305
0.1,8,30,0.8453
0.1,8,35,0.8523
0.1,8,40,0.8563
0.1,8,45,0.8472
0.1,8,50,0.8581
0.1,9,5,0.752
0.1,9,10,0.7942
0.1,9,15,0.8113
0.1,9,20,0.8215
0.1,9,25,0.8629
0.1,9,30,0.8566
0.1,9,35,0.8651
0.1,9,40,0.8657
0.1,9,45,0.8706
0.1,9,50,0.8821
