alpha,seed,round,accuracy
100.0,0,1,0.8011
100.0,0,2,0.8485
100.0,0,3,0.8681
100.0,0,4,0.8773
100.0,0,5,0.8811
100.0,0,6,0.8889
100.0,0,7,0.8916
100.0,0,8,0.8965
100.0,0,9,0.8989
100.0,0,10,0.9
100.0,0,11,0.9024
100.0,0,12,0.9059
100.0,0,13,0.9069
100.0,0,14,0.9104
100.0,0,15,0.9107
100.0,0,16,0.9113
100.0,0,17,0.9115
100.0,0,18,0.9141
100.0,0,19,0.913
100.0,0,20,0.9155
100.0,0,21,0.9154
100.0,0,22,0.9154
100.0,0,23,0.9173
100.0,0,24,0.9192
100.0,0,25,0.919
100.0,0,26,0.9189
100.0,0,27,0.9194
100.0,0,28,0.92
100.0,0,29,0.9202
100.0,0,30,0.9197
100.0,0,31,0.921
100.0,0,32,0.9233
100.0,0,33,0.9212
100.0,0,34,0.922
100.0,0,35,0.9213
100.0,0,36,0.9208
100.0,0,37,0.924
100.0,0,38,0.9231
100.0,0,39,0.9239
100.0,0,40,0.923
100.0,0,41,0.924
100.0,0,42,0.9216
100.0,0,43,0.9234
100.0,0,44,0.9232
100.0,0,45,0.923
100.0,0,46,0.9225
100.0,0,47,0.9237
100.0,0,48,0.9232
100.0,0,49,0.9238
100.0,0,50,0.9225
100.0,1,1,0.7808
100.0,1,2,0.8461
100.0,1,3,0.8668
100.0,1,4,0.8747
100.0,1,5,0.8826
100.0,1,6,0.8901
100.0,1,7,0.8931
100.0,1,8,0.8958
100.0,1,9,0.9012
100.0,1,10,0.9034
100.0,1,11,0.9071
100.0,1,12,0.908
100.0,1,13,0.9098
100.0,1,14,0.911
100.0,1,15,0.9126
100.0,1,16,0.9139
100.0,1,17,0.9155
100.0,1,18,0.9167
100.0,1,19,0.9169
100.0,1,20,0.9178
100.0,1,21,0.9184
100.0,1,22,0.9198
100.0,1,23,0.92
100.0,1,24,0.9191
100.0,1,25,0.92
100.0,1,26,0.9207
100.0,1,27,0.9214
100.0,1,28,0.9226
100.0,1,29,0.9219
100.0,1,30,0.9217
100.0,1,31,0.9238
100.0,1,32,0.9219
100.0,1,33,0.9226
100.0,1,34,0.9228
100.0,1,35,0.924
100.0,1,36,0.9238
100.0,1,37,0.9243
100.0,1,38,0.9234
100.0,1,39,0.9244
100.0,1,40,0.9225
100.0,1,41,0.9238
100.0,1,42,0.9233
100.0,1,43,0.9251
100.0,1,44,0.9246
100.0,1,45,0.925
100.0,1,46,0.9244
100.0,1,47,0.9235
100.0,1,48,0.9257
100.0,1,49,0.9243
100.0,1,50,0.9255
100.0,2,1,0.771
100.0,2,2,0.8487
100.0,2,3,0.8668
100.0,2,4,0.8763
100.0,2,5,0.8848
100.0,2,6,0.887
100.0,2,7,0.891
100.0,2,8,0.8957
100.0,2,9,0.8986
100.0,2,10,0.9016
100.0,2,11,0.9036
100.0,2,12,0.9062
100.0,2,13,0.9078
100.0,2,14,0.9103
100.0,2,15,0.913
100.0,2,16,0.9126
100.0,2,17,0.9142
100.0,2,18,0.9158
100.0,2,19,0.9144
100.0,2,20,0.9173
100.0,2,21,0.9186
100.0,2,22,0.9182
100.0,2,23,0.9223
100.0,2,24,0.9212
100.0,2,25,0.9212
100.0,2,26,0.9221
100.0,2,27,0.9226
100.0,2,28,0.9214
100.0,2,29,0.9244
100.0,2,30,0.9243
100.0,2,31,0.9235
100.0,2,32,0.9241
100.0,2,33,0.9247
100.0,2,34,0.9239
100.0,2,35,0.9257
100.0,2,36,0.9254
100.0,2,37,0.9251
100.0,2,38,0.9269
100.0,2,39,0.925
100.0,2,40,0.925
100.0,2,41,0.9249
100.0,2,42,0.9253
100.0,2,43,0.9248
100.0,2,44,0.924
100.0,2,45,0.9229
100.0,2,46,0.9256
100.0,2,47,0.9232
100.0,2,48,0.9257
100.0,2,49,0.9255
100.0,2,50,0.9256
0.5,0,1,0.6842
0.5,0,2,0.8002
0.5,0,3,0.8257
0.5,0,4,0.8498
0.5,0,5,0.8577
0.5,0,6,0.8742
0.5,0,7,0.873
0.5,0,8,0.884
0.5,0,9,0.8862
0.5,0,10,0.8897
0.5,0,11,0.891
0.5,0,12,0.8949
0.5,0,13,0.8952
0.5,0,14,0.8953
0.5,0,15,0.901
0.5,0,16,0.903
0.5,0,17,0.9027
0.5,0,18,0.9056
0.5,0,19,0.9033
0.5,0,20,0.9058
0.5,0,21,0.9041
0.5,0,22,0.9061
0.5,0,23,0.9071
0.5,0,24,0.9089
0.5,0,25,0.9098
0.5,0,26,0.9086
0.5,0,27,0.9086
0.5,0,28,0.9096
0.5,0,29,0.9077
0.5,0,30,0.9118
0.5,0,31,0.9104
0.5,0,32,0.9107
0.5,0,33,0.9125
0.5,0,34,0.9125
0.5,0,35,0.9114
0.5,0,36,0.9138
0.5,0,37,0.9114
0.5,0,38,0.9136
0.5,0,39,0.9124
0.5,0,40,0.9129
0.5,0,41,0.9135
0.5,0,42,0.9151
0.5,0,43,0.9136
0.5,0,44,0.9143
0.5,0,45,0.9135
0.5,0,46,0.9154
0.5,0,47,0.9145
0.5,0,48,0.9145
0.5,0,49,0.914
0.5,0,50,0.9146
0.5,1,1,0.728
0.5,1,2,0.8155
0.5,1,3,0.8232
0.5,1,4,0.8505
0.5,1,5,0.855
0.5,1,6,0.8662
0.5,1,7,0.8773
0.5,1,8,0.8818
0.5,1,9,0.8853
0.5,1,10,0.8904
0.5,1,11,0.8897
0.5,1,12,0.8928
0.5,1,13,0.8938
0.5,1,14,0.8975
0.5,1,15,0.8996
0.5,1,16,0.8997
0.5,1,17,0.9016
0.5,1,18,0.9033
0.5,1,19,0.9024
0.5,1,20,0.9033
0.5,1,21,0.9087
0.5,1,22,0.909
0.5,1,23,0.9066
0.5,1,24,0.9084
0.5,1,25,0.9122
0.5,1,26,0.9087
0.5,1,27,0.9102
0.5,1,28,0.9131
0.5,1,29,0.9126
0.5,1,30,0.9141
0.5,1,31,0.913
0.5,1,32,0.9124
0.5,1,33,0.9126
0.5,1,34,0.9113
0.5,1,35,0.9145
0.5,1,36,0.915
0.5,1,37,0.9133
0.5,1,38,0.9142
0.5,1,39,0.9149
0.5,1,40,0.9141
0.5,1,41,0.9156
0.5,1,42,0.9145
0.5,1,43,0.9148
0.5,1,44,0.9169
0.5,1,45,0.916
0.5,1,46,0.9137
0.5,1,47,0.9162
0.5,1,48,0.9134
0.5,1,49,0.9162
0.5,1,50,0.9133
0.5,2,1,0.7401
0.5,2,2,0.804
0.5,2,3,0.8349
0.5,2,4,0.8564
0.5,2,5,0.8671
0.5,2,6,0.8764
0.5,2,7,0.8763
0.5,2,8,0.881
0.5,2,9,0.8893
0.5,2,10,0.8912
0.5,2,11,0.8961
0.5,2,12,0.8976
0.5,2,13,0.8985
0.5,2,14,0.9007
0.5,2,15,0.9018
0.5,2,16,0.9029
0.5,2,17,0.904
0.5,2,18,0.9057
0.5,2,19,0.9055
0.5,2,20,0.9083
0.5,2,21,0.9089
0.5,2,22,0.9085
0.5,2,23,0.9117
0.5,2,24,0.9127
0.5,2,25,0.9122
0.5,2,26,0.9131
0.5,2,27,0.913
0.5,2,28,0.9147
0.5,2,29,0.9134
0.5,2,30,0.9136
0.5,2,31,0.9159
0.5,2,32,0.9179
0.5,2,33,0.9169
0.5,2,34,0.9159
0.5,2,35,0.9153
0.5,2,36,0.9166
0.5,2,37,0.9165
0.5,2,38,0.9184
0.5,2,39,0.9175
0.5,2,40,0.9186
0.5,2,41,0.9186
0.5,2,42,0.9202
0.5,2,43,0.9183
0.5,2,44,0.9197
0.5,2,45,0.9188
0.5,2,46,0.9187
0.5,2,47,0.9176
0.5,2,48,0.9206
0.5,2,49,0.9215
0.5,2,50,0.9184
0.1,0,1,0.4339
0.1,0,2,0.564
0.1,0,3,0.6975
0.1,0,4,0.7197
0.1,0,5,0.7503
0.1,0,6,0.7636
0.1,0,7,0.7567
0.1,0,8,0.7789
0.1,0,9,0.7748
0.1,0,10,0.7805
0.1,0,11,0.7899
0.1,0,12,0.7922
0.1,0,13,0.7963
0.1,0,14,0.7952
0.1,0,15,0.8026
0.1,0,16,0.8032
0.1,0,17,0.8048
0.1,0,18,0.8045
0.1,0,19,0.8071
0.1,0,20,0.8042
0.1,0,21,0.8056
0.1,0,22,0.8138
0.1,0,23,0.808
0.1,0,24,0.8133
0.1,0,25,0.8128
0.1,0,26,0.8124
0.1,0,27,0.8147
0.1,0,28,0.8154
0.1,0,29,0.8126
0.1,0,30,0.8142
0.1,0,31,0.813
0.1,0,32,0.8164
0.1,0,33,0.8172
0.1,0,34,0.8161
0.1,0,35,0.8116
0.1,0,36,0.8151
0.1,0,37,0.8157
0.1,0,38,0.8163
0.1,0,39,0.8166
0.1,0,40,0.8154
0.1,0,41,0.8144
0.1,0,42,0.8149
0.1,0,43,0.814
0.1,0,44,0.8168
0.1,0,45,0.8188
0.1,0,46,0.8169
0.1,0,47,0.8164
0.1,0,48,0.8165
0.1,0,49,0.8181
0.1,0,50,0.8258
0.1,1,1,0.4279
0.1,1,2,0.6611
0.1,1,3,0.6677
0.1,1,4,0.7305
0.1,1,5,0.7411
0.1,1,6,0.7444
0.1,1,7,0.7709
0.1,1,8,0.7742
0.1,1,9,0.7881
0.1,1,10,0.8055
0.1,1,11,0.812
0.1,1,12,0.8157
0.1,1,13,0.8192
0.1,1,14,0.8227
0.1,1,15,0.8255
0.1,1,16,0.8324
0.1,1,17,0.8351
0.1,1,18,0.8341
0.1,1,19,0.8452
0.1,1,20,0.8494
0.1,1,21,0.8465
0.1,1,22,0.8422
0.1,1,23,0.852
0.1,1,24,0.8475
0.1,1,25,0.8545
0.1,1,26,0.8488
0.1,1,27,0.8564
0.1,1,28,0.8585
0.1,1,29,0.8594
0.1,1,30,0.8567
0.1,1,31,0.859
0.1,1,32,0.8586
0.1,1,33,0.8602
0.1,1,34,0.8605
0.1,1,35,0.8621
0.1,1,36,0.8646
0.1,1,37,0.8643
0.1,1,38,0.868
0.1,1,39,0.8692
0.1,1,40,0.8662
0.1,1,41,0.8715
0.1,1,42,0.866
0.1,1,43,0.8585
0.1,1,44,0.8664
0.1,1,45,0.8695
0.1,1,46,0.8707
0.1,1,47,0.8707
0.1,1,48,0.8727
0.1,1,49,0.8629
0.1,1,50,0.8646
0.1,2,1,0.3517
0.1,2,2,0.4803
0.1,2,3,0.6892
0.1,2,4,0.6436
0.1,2,5,0.7156
0.1,2,6,0.736
0.1,2,7,0.7388
0.1,2,8,0.7446
0.1,2,9,0.7501
0.1,2,10,0.7636
0.1,2,11,0.754
0.1,2,12,0.7655
0.1,2,13,0.7626
0.1,2,14,0.7663
0.1,2,15,0.77
0.1,2,16,0.7761
0.1,2,17,0.774
0.1,2,18,0.7734
0.1,2,19,0.7743
0.1,2,20,0.7744
0.1,2,21,0.7792
0.1,2,22,0.7711
0.1,2,23,0.7817
0.1,2,24,0.7795
0.1,2,25,0.781
0.1,2,26,0.7912
0.1,2,27,0.7833
0.1,2,28,0.7858
0.1,2,29,0.7862
0.1,2,30,0.7852
0.1,2,31,0.7995
0.1,2,32,0.796
0.1,2,33,0.8086
0.1,2,34,0.8114
0.1,2,35,0.8217
0.1,2,36,0.816
0.1,2,37,0.8216
0.1,2,38,0.807
0.1,2,39,0.809
0.1,2,40,0.8241
0.1,2,41,0.8144
0.1,2,42,0.8338
0.1,2,43,0.8421
0.1,2,44,0.8347
0.1,2,45,0.844
0.1,2,46,0.8351
0.1,2,47,0.839
0.1,2,48,0.8355
0.1,2,49,0.8436
0.1,2,50,0.8468
