alpha,seed,round,accuracy
100.0,0,5,0.8824
100.0,0,10,0.9022
100.0,0,15,0.9093
100.0,0,20,0.9144
100.0,0,25,0.9168
100.0,0,30,0.9195
100.0,0,35,0.9211
100.0,0,40,0.9209
100.0,0,45,0.9233
100.0,0,50,0.9203
100.0,1,5,0.8837
100.0,1,10,0.9027
100.0,1,15,0.9124
100.0,1,20,0.917
100.0,1,25,0.9209
100.0,1,30,0.9218
100.0,1,35,0.925
100.0,1,40,0.9248
100.0,1,45,0.9253
100.0,1,50,0.925
100.0,2,5,0.8824
100.0,2,10,0.9024
100.0,2,15,0.9135
100.0,2,20,0.9191
100.0,2,25,0.9213
100.0,2,30,0.9226
100.0,2,35,0.9242
100.0,2,40,0.9245
100.0,2,45,0.9275
100.0,2,50,0.9263
100.0,3,5,0.8817
100.0,3,10,0.9014
100.0,3,15,0.9115
100.0,3,20,0.9152
100.0,3,25,0.9177
100.0,3,30,0.9207
100.0,3,35,0.9218
100.0,3,40,0.9242
100.0,3,45,0.9246
100.0,3,50,0.9231
100.0,4,5,0.8819
100.0,4,10,0.9001
100.0,4,15,0.911
100.0,4,20,0.9152
100.0,4,25,0.9185
100.0,4,30,0.9232
100.0,4,35,0.9224
100.0,4,40,0.9243
100.0,4,45,0.9264
100.0,4,50,0.9252
100.0,5,5,0.886
100.0,5,10,0.9008
100.0,5,15,0.9122
100.0,5,20,0.9161
100.0,5,25,0.9197
100.0,5,30,0.9219
100.0,5,35,0.924
100.0,5,40,0.9249
100.0,5,45,0.9239
100.0,5,50,0.9261
100.0,6,5,0.8807
100.0,6,10,0.9011
100.0,6,15,0.9122
100.0,6,20,0.9174
100.0,6,25,0.9214
100.0,6,30,0.9234
100.0,6,35,0.9265
100.0,6,40,0.9284
100.0,6,45,0.9248
100.0,6,50,0.9245
100.0,7,5,0.8807
100.0,7,10,0.8991
100.0,7,15,0.9088
100.0,7,20,0.9162
100.0,7,25,0.9211
100.0,7,30,0.9215
100.0,7,35,0.9237
100.0,7,40,0.9241
100.0,7,45,0.9255
100.0,7,50,0.924
100.0,8,5,0.8809
100.0,8,10,0.8991
100.0,8,15,0.9086
100.0,8,20,0.9144
100.0,8,25,0.9187
100.0,8,30,0.9213
100.0,8,35,0.9229
100.0,8,40,0.9229
100.0,8,45,0.9243
100.0,8,50,0.9241
100.0,9,5,0.8836
100.0,9,10,0.9005
100.0,9,15,0.9105
100.0,9,20,0.9163
100.0,9,25,0.9191
100.0,9,30,0.9227
100.0,9,35,0.9233
100.0,9,40,0.9247
100.0,9,45,0.9243
100.0,9,50,0.9236
0.5,0,5,0.8702
0.5,0,10,0.8903
0.5,0,15,0.9012
0.5,0,20,0.9067
0.5,0,25,0.9106
0.5,0,30,0.9119
0.5,0,35,0.911
0.5,0,40,0.9148
0.5,0,45,0.9153
0.5,0,50,0.9149
0.5,1,5,0.8677
0.5,1,10,0.8921
0.5,1,15,0.8981
0.5,1,20,0.9058
0.5,1,25,0.9093
0.5,1,30,0.9124
0.5,1,35,0.9136
0.5,1,40,0.9141
0.5,1,45,0.9117
0.5,1,50,0.9146
0.5,2,5,0.867
0.5,2,10,0.8935
0.5,2,15,0.9052
0.5,2,20,0.9104
0.5,2,25,0.915
